"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Knowledge Base","1","0","Web Scraping Revert Changes","0"
"0","","0","Bot Creation","1","0","Validation: Invalid bot name is rejected","0"
"0","","0","Bot Creation","1","0","Bot Creation succeeds with valid name","0"
"0","","0","Bot Creation","1","0","User can update bot name successfully","0"
"0","","0","Bot Settings","1","0","General Settings","0"
"0","","0","Bot Settings","1","0","Bot Personalization","0"
"0","","0","Model Configuration","1","0","Enable Vector DB Option","0"
"0","","0","Login Module","1","0","Valid Login with OTP","0"
"0","","0","Model Configuration","1","0","Valid Vector DB Config","0"
"0","","0","Bot Creation","1","0","Start Bot Creation","0"
"1","","0","Bot Settings","0","0","Validation Messages","0"
"0","","0","Bot Creation","1","0","User can edit bot name","0"
"0","","0","Bot Creation","1","0","Create Bot","0"
"0","","0","Knowledge Base","1","0","Web Scraping Logic","0"
"0","","0","Knowledge Base","1","0","File Upload","0"
"0","","0","Bot Settings","1","0","Toggle All Settings","0"
"0","","0","Bot Settings","1","0","TTS Settings","0"
"0","","0","Knowledge Base","1","0","Web Scraping View and Edit","0"
"0","","0","Bot Management","1","0","Delete Bot cancelled by user","0"
"0","","0","Bot Management","1","0","Delete Bot confirmed","0"
"1","","0","Integrations","0","0","Direct Link","0"
"0","","0","Bot Settings","1","0","Theme Settings","0"
"0","","0","Model Configuration","1","0","Next Button Disabled","0"
"0","","0","Bot Creation","1","0","Cancel Bot Creation","0"
"0","","0","Model Configuration","1","0","Valid LLM Details","0"
"0","","0","Bot Creation","1","0","Validation: Bot name is empty","0"
